ID	Địa chỉ	Diện tích	Số phòng ngủ	Số toilet	Nội thất	Mức giá	Ngày đăng tin
41244649.0	16	20.0	1.0	1.0	2	3.5	2024-10-17
41228504.0	7	25.0	1.0	1.0	2	4.3	2024-10-16
39802582.0	7	35.0	1.0	1.0	0	5.5	2024-10-11
40324518.0	7	35.0	1.0	1.0	2	5.2	2024-10-20
41295177.0	15	28.0	1.0	1.0	2	6.9	2024-10-23
39237190.0	1	25.0	1.0	1.0	0	7.0	2024-10-23
39236978.0	1	28.0	1.0	1.0	0	7.5	2024-10-23
39237069.0	1	40.0	1.0	1.0	2	11.5	2024-10-23
41295056.0	1	24.0	1.0	1.0	2	4.0	2024-10-23
39302327.0	1	31.0	1.0	1.0	0	7.5	2024-10-23
39795379.0	2	38.0	1.0	1.0	2	10.0	2024-10-14
39058991.0	9	22.0	1.0	1.0	2	3.0	2024-10-23
41295105.0	15	28.0	1.0	1.0	1	5.3	2024-10-23
41294898.0	1	50.0	1.0	1.0	0	8.5	2024-10-23
41253190.0	3	30.0	1.0	1.0	2	6.5	2024-10-18
37295999.0	15	25.0	1.0	1.0	2	3.8	2024-10-15
40911855.0	2	50.0	2.0	1.0	2	7.5	2024-10-16
41247300.0	1	20.0	1.0	1.0	0	3.0	2024-10-18
41232703.0	9	30.0	1.0	1.0	2	4.6	2024-10-16
41294717.0	8	40.0	1.0	1.0	0	6.0	2024-10-23
41294567.0	5	30.0	1.0	1.0	2	8.0	2024-10-23
41294862.0	16	30.0	1.0	1.0	1	3.5	2024-10-23
41294654.0	2	40.0	1.0	1.0	2	6.5	2024-10-23
41289237.0	9	35.0	1.0	1.0	2	5.0	2024-10-22
38706044.0	17	28.0	1.0	1.0	0	3.9	2024-10-17
41294441.0	2	35.0	1.0	1.0	2	6.2	2024-10-23
41294411.0	3	26.0	1.0	1.0	2	5.5	2024-10-23
41293603.0	1	30.0	1.0	1.0	2	8.8	2024-10-23
41294707.0	16	20.0	1.0	1.0	2	2.8	2024-10-23
41294662.0	15	20.0	1.0	1.0	2	5.3	2024-10-23
41294616.0	1	35.0	1.0	1.0	0	6.6	2024-10-23
38744780.0	2	30.0	1.0	1.0	2	5.9	2024-10-19
40773878.0	7	35.0	1.0	1.0	2	3.8	2024-10-11
40793735.0	7	25.0	1.0	1.0	2	5.5	2024-10-21
41294209.0	16	20.0	1.0	1.0	0	2.7	2024-10-23
41294194.0	1	25.0	1.0	1.0	0	4.5	2024-10-23
41074092.0	1	35.0	1.0	1.0	0	3.3	2024-10-17
41106532.0	15	30.0	1.0	1.0	0	4.6	2024-10-17
41294156.0	3	40.0	1.0	1.0	0	13.0	2024-10-23
41196793.0	8	40.0	1.0	1.0	2	7.5	2024-10-13
41294114.0	2	40.0	1.0	1.0	2	6.5	2024-10-23
40985893.0	16	30.0	1.0	1.0	1	2.6	2024-10-23
39155277.0	15	30.0	1.0	1.0	0	5.0	2024-10-23
41156444.0	15	45.0	1.0	1.0	0	4.8	2024-10-23
41197070.0	7	30.0	1.0	1.0	0	4.0	2024-10-13
38974209.0	7	50.0	1.0	1.0	2	7.0	2024-10-23
41294335.0	16	25.0	1.0	1.0	1	3.0	2024-10-23
41293942.0	9	25.0	1.0	1.0	0	3.0	2024-10-23
39794114.0	2	20.0	1.0	1.0	2	4.2	2024-10-23
41293758.0	9	27.0	1.0	1.0	0	5.5	2024-10-23
41293932.0	2	30.0	1.0	1.0	2	6.5	2024-10-23
41293935.0	2	40.0	1.0	1.0	2	6.0	2024-10-23
41289996.0	8	56.0	1.0	1.0	2	4.8	2024-10-23
41293551.0	14	45.0	1.0	1.0	0	4.8	2024-10-23
40945413.0	14	40.0	1.0	1.0	2	7.0	2024-10-19
40374548.0	14	25.0	1.0	1.0	0	3.7	2024-10-15
11838963.0	2	15.0	1.0	1.0	0	2.5	2024-10-16
41293413.0	2	35.0	1.0	1.0	2	5.4	2024-10-23
40460007.0	9	30.0	1.0	1.0	2	5.5	2024-10-23
41085683.0	14	30.0	1.0	1.0	2	4.5	2024-10-02
41264561.0	14	45.0	1.0	1.0	1	4.5	2024-10-20
41293244.0	2	25.0	1.0	1.0	2	4.0	2024-10-23
40677521.0	2	25.0	1.0	1.0	2	4.9	2024-10-23
41293152.0	13	35.0	1.0	1.0	2	6.0	2024-10-23
40884216.0	14	25.0	1.0	1.0	0	4.0	2024-10-23
40269551.0	1	36.0	1.0	1.0	2	5.55	2024-10-23
41293462.0	16	20.0	1.0	1.0	2	5.5	2024-10-23
41082999.0	1	35.0	1.0	1.0	2	6.8	2024-10-23
41082166.0	7	30.0	1.0	1.0	1	4.5	2024-10-14
40668535.0	14	25.0	1.0	1.0	0	3.7	2024-10-18
41082233.0	7	25.0	1.0	1.0	0	3.5	2024-10-14
34747782.0	14	40.0	1.0	1.0	2	6.3	2024-10-17
40958896.0	16	25.0	1.0	1.0	2	4.0	2024-10-15
37734870.0	14	25.0	1.0	1.0	0	3.7	2024-10-01
40289658.0	14	25.0	1.0	1.0	1	3.5	2024-10-05
41293091.0	7	45.0	1.0	1.0	2	10.0	2024-10-23
40289797.0	14	20.0	1.0	1.0	1	3.9	2024-10-03
41284525.0	14	13.0	1.0	1.0	0	4.5	2024-10-22
41293090.0	2	25.0	1.0	1.0	2	4.9	2024-10-23
40723704.0	4	30.0	1.0	1.0	2	4.5	2024-10-23
40822404.0	14	25.0	1.0	1.0	0	5.2	2024-10-18
41116922.0	16	30.0	1.0	1.0	2	6.0	2024-10-16
39181718.0	2	27.0	1.0	1.0	1	4.6	2024-10-21
41141209.0	9	25.0	1.0	1.0	2	3.5	2024-10-18
41292759.0	1	25.0	1.0	1.0	1	2.7	2024-10-23
40609705.0	1	25.0	1.0	1.0	2	5.5	2024-10-22
41292629.0	9	25.0	1.0	1.0	2	4.0	2024-10-23
41247974.0	15	25.0	1.0	1.0	1	4.1	2024-10-18
40985911.0	15	30.0	1.0	1.0	0	3.2	2024-10-23
41250355.0	9	20.0	1.0	1.0	1	3.3	2024-10-18
41106459.0	15	45.0	2.0	1.0	0	5.8	2024-10-23
41292863.0	18	40.0	1.0	1.0	2	5.8	2024-10-23
41292669.0	2	25.0	1.0	1.0	2	4.0	2024-10-23
39212273.0	7	35.0	1.0	1.0	2	6.0	2024-10-23
41292828.0	5	15.0	1.0	1.0	1	3.6	2024-10-23
41292466.0	9	30.0	1.0	1.0	2	5.0	2024-10-23
36372430.0	16	13.0	1.0	1.0	0	2.5	2024-10-23
40873177.0	16	13.0	1.0	1.0	0	3.0	2024-10-23
41292699.0	18	40.0	1.0	1.0	2	5.8	2024-10-23
